2021-07-19-10,90,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈)),33347390,2021.03.14,발라드_ 인디음악,94,48609
2021-07-19-10,91,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy),너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),33439096,2021.04.27,발라드,106,28333
2021-07-19-10,92,잡아줄게 (Carabiner),ASH ISLAND,잡아줄게 (Carabiner),33666177,2021.07.09,랩/힙합,173,18529
2021-07-19-10,93,살다가,SG 워너비,살다가,711626,2005.03.23,발라드,167,69022
2021-07-19-10,94,Paris In The Rain,Lauv,I met you when I was 18. (the playlist),31341518,2018.10.08,POP,674,257401
2021-07-19-10,95,마음을 드려요,아이유,사랑의 불시착 OST Part 11,32378104,2020.02.15,발라드_ 국내드라마,1829,211391
2021-07-19-10,96,오늘따라 더 미운 그대가,전상근,오늘따라 더 미운 그대가,33572275,2021.06.13,발라드,46,16754
2021-07-19-10,97,Don't Start Now,Dua Lipa,Future Nostalgia,32137576,2019.11.01,POP,361,142359
2021-07-19-10,98,너를 만나,폴킴,너를 만나,31388145,2018.10.29,발라드,970,291031
2021-07-19-10,99,Love poem,아이유,Love poem,32143487,2019.11.01,록/메탈,3039,306583
2021-07-19-10,100,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),32871975,2020.08.23,발라드,515,107007
2021-07-19-11,1,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,33625988,2021.06.26,발라드,1709,113674
2021-07-19-11,2,Next Level,aespa,Next Level,33487342,2021.05.17,댄스,5844,167725
2021-07-19-11,3,신호등,이무진,신호등,33480898,2021.05.14,록/메탈,853,118966
2021-07-19-11,4,Butter,방탄소년단,Butter,33507137,2021.05.21,댄스,8175,225596
2021-07-19-11,5,Permission to Dance,방탄소년단,Butter / Permission to Dance,33666269,2021.07.09,댄스,3696,123650
2021-07-19-11,6,Weekend,태연 (TAEYEON),Weekend,33655994,2021.07.06,댄스,1222,74019
2021-07-19-11,7,헤픈 우연,헤이즈 (Heize),HAPPEN,33503722,2021.05.20,R&B/Soul,757,128511
2021-07-19-11,8,치맛바람 (Chi Mat Ba Ram),브레이브걸스,Summer Queen,33589260,2021.06.17,댄스,2166,82743
2021-07-19-11,9,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice,33359317,2021.03.19,POP,945,180066
2021-07-19-11,10,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL,33464805,2021.05.10,댄스,2907,129201
2021-07-19-11,11,나를 아는 사람,MSG워너비(정상동기),MSG워너비 1집,33625989,2021.06.26,발라드,769,62472
2021-07-19-11,12,롤린 (Rollin'),브레이브걸스,Rollin',30287019,2017.03.07,댄스,7696,282821
